id,name,total_spent
1,Customer_1,305.75
2,Customer_2,795.72
3,Customer_3,186.01
4,Customer_4,28.66
5,Customer_5,27.39
6,Customer_6,884.36
7,Customer_7,601.46
8,Customer_8,402.07
9,Customer_9,598.11
10,Customer_10,421.38
11,Customer_11,79.84
12,Customer_12,548.48
13,Customer_13,830.76
14,Customer_14,224.04
15,Customer_15,739.59
16,Customer_16,634.28
17,Customer_17,269.84
18,Customer_18,368.31
19,Customer_19,807.84
20,Customer_20,804.99
21,Customer_21,468.39
22,Customer_22,255.92
23,Customer_23,692.52
24,Customer_24,597.32
25,Customer_25,318.68
26,Customer_26,163.3
27,Customer_27,313.4
28,Customer_28,826.26
29,Customer_29,857.72
30,Customer_30,86.69
31,Customer_31,21.15
32,Customer_32,775.32
33,Customer_33,802.71
34,Customer_34,976.55
35,Customer_35,759.22
36,Customer_36,650.57
37,Customer_37,530.95
38,Customer_38,585.39
39,Customer_39,799.61
40,Customer_40,197.74
41,Customer_41,815.11
42,Customer_42,744.54
43,Customer_43,421.75
44,Customer_44,316.44
45,Customer_45,635.6
46,Customer_46,111.65
47,Customer_47,375.45
48,Customer_48,772.72
49,Customer_49,335.75
50,Customer_50,445.82
