ID,Name,Category,Price
1,Wireless Mouse,Electronics,25.99
2,Mechanical Keyboard,Electronics,89.99
3,Cotton T-Shirt,Apparel,15.5
4,Running Shoes,Footwear,59.99
5,Coffee Mug,Kitchenware,8.99
6,Bluetooth Speaker,Electronics,45.0
7,Denim Jeans,Apparel,49.99
8,Desk Lamp,Home Decor,32.5
9,Water Bottle,Fitness,12.99
10,Yoga Mat,Fitness,22.0
11,Backpack,Accessories,39.99
12,Notebook,Stationery,4.5
13,Smartphone Case,Electronics,14.99
14,Sunscreen,Personal Care,11.25
15,Toaster,Kitchenware,29.99
16,Baseball Cap,Apparel,19.99
17,Wrist Watch,Accessories,120.0
18,Headphones,Electronics,75.0
19,Umbrella,Accessories,18.5
20,Picture Frame,Home Decor,10.99
