id,name,category,price,ratings
1,Product_1,Clothing,185.46,3.5
2,Product_2,Electronics,367.82,2.8
3,Product_3,Books,357.76,2.0
4,Product_4,Home,498.47,1.2
5,Product_5,Clothing,284.47,4.5
6,Product_6,Books,160.4,2.1
7,Product_7,Home,58.45,1.9
8,Product_8,Electronics,162.08,1.7
9,Product_9,Electronics,473.29,2.1
10,Product_10,Books,487.63,4.1
11,Product_11,Home,292.23,1.4
12,Product_12,Electronics,239.1,5.0
13,Product_13,Books,102.9,2.0
14,Product_14,Clothing,425.91,1.8
15,Product_15,Electronics,246.21,5.0
16,Product_16,Home,239.33,1.9
17,Product_17,Clothing,186.64,4.1
18,Product_18,Clothing,381.04,3.8
19,Product_19,Toys,107.59,2.2
20,Product_20,Electronics,297.16,4.0
21,Product_21,Home,192.66,3.3
22,Product_22,Books,276.9,1.4
23,Product_23,Toys,324.97,4.9
24,Product_24,Home,451.37,1.0
25,Product_25,Toys,247.51,1.6
26,Product_26,Clothing,186.46,4.8
27,Product_27,Electronics,43.6,3.6
28,Product_28,Clothing,412.25,3.4
29,Product_29,Clothing,463.87,2.9
30,Product_30,Electronics,420.63,1.8
31,Product_31,Clothing,110.17,2.0
32,Product_32,Electronics,21.53,4.7
33,Product_33,Clothing,291.05,4.8
34,Product_34,Clothing,215.69,4.9
35,Product_35,Books,40.18,4.2
36,Product_36,Clothing,107.27,3.7
37,Product_37,Clothing,300.29,1.2
38,Product_38,Electronics,417.31,3.7
39,Product_39,Home,226.37,3.1
40,Product_40,Clothing,223.27,1.9
41,Product_41,Electronics,342.1,4.6
42,Product_42,Electronics,20.93,1.5
43,Product_43,Toys,404.12,1.1
44,Product_44,Toys,223.73,2.9
45,Product_45,Clothing,137.16,3.6
46,Product_46,Home,267.35,4.0
47,Product_47,Electronics,471.67,1.4
48,Product_48,Electronics,260.09,2.6
49,Product_49,Books,358.05,1.5
50,Product_50,Books,398.77,3.0
51,Product_51,Electronics,393.83,2.9
52,Product_52,Electronics,163.99,1.3
53,Product_53,Books,322.89,1.5
54,Product_54,Electronics,278.53,1.4
55,Product_55,Books,331.37,3.9
56,Product_56,Home,118.46,2.7
57,Product_57,Electronics,118.68,1.7
58,Product_58,Clothing,261.15,4.2
59,Product_59,Clothing,84.78,1.3
60,Product_60,Toys,308.53,2.9
61,Product_61,Clothing,484.33,3.7
62,Product_62,Clothing,229.76,1.4
63,Product_63,Books,323.74,2.5
64,Product_64,Clothing,45.42,1.1
65,Product_65,Electronics,443.69,3.7
66,Product_66,Books,338.88,1.9
67,Product_67,Electronics,375.13,1.2
68,Product_68,Home,376.03,4.2
69,Product_69,Home,485.2,3.1
70,Product_70,Toys,149.62,1.2
71,Product_71,Clothing,253.52,1.5
72,Product_72,Electronics,328.97,3.6
73,Product_73,Home,132.65,1.5
74,Product_74,Home,115.2,2.3
75,Product_75,Home,142.59,3.0
76,Product_76,Books,253.93,4.3
77,Product_77,Clothing,159.89,3.3
78,Product_78,Clothing,221.21,2.3
79,Product_79,Books,80.18,1.6
80,Product_80,Electronics,360.85,4.1
81,Product_81,Home,217.66,2.1
82,Product_82,Electronics,406.22,4.5
83,Product_83,Toys,376.53,1.6
84,Product_84,Books,155.58,4.7
85,Product_85,Books,315.09,2.5
86,Product_86,Clothing,439.89,3.4
87,Product_87,Books,455.48,2.3
88,Product_88,Home,86.59,3.4
89,Product_89,Toys,120.2,1.9
90,Product_90,Electronics,314.36,2.1
91,Product_91,Home,153.03,3.0
92,Product_92,Clothing,445.12,5.0
93,Product_93,Books,384.89,3.9
94,Product_94,Toys,408.48,1.6
95,Product_95,Toys,96.23,2.7
96,Product_96,Books,36.69,2.9
97,Product_97,Books,52.41,3.4
98,Product_98,Books,364.44,1.4
99,Product_99,Toys,129.42,3.8
100,Product_100,Toys,128.8,2.4
101,Product_101,Books,495.95,1.2
102,Product_102,Electronics,217.92,3.7
103,Product_103,Electronics,113.02,4.8
104,Product_104,Clothing,191.1,3.2
105,Product_105,Toys,22.43,2.6
106,Product_106,Electronics,325.76,4.6
107,Product_107,Clothing,339.14,2.0
108,Product_108,Home,421.69,1.4
109,Product_109,Toys,184.26,2.9
110,Product_110,Toys,193.81,3.0
111,Product_111,Clothing,415.19,3.4
112,Product_112,Clothing,76.21,4.0
113,Product_113,Clothing,85.1,2.3
114,Product_114,Electronics,261.81,3.0
115,Product_115,Clothing,309.0,2.7
116,Product_116,Clothing,159.71,2.8
117,Product_117,Toys,278.43,3.6
118,Product_118,Clothing,218.07,4.3
119,Product_119,Electronics,68.08,2.4
120,Product_120,Clothing,161.84,4.2
121,Product_121,Electronics,367.84,4.0
122,Product_122,Toys,182.0,3.7
123,Product_123,Home,341.39,4.9
124,Product_124,Electronics,230.7,1.8
125,Product_125,Toys,427.08,4.5
126,Product_126,Electronics,78.6,3.3
127,Product_127,Electronics,128.76,3.3
128,Product_128,Home,19.73,3.2
129,Product_129,Clothing,407.72,4.4
130,Product_130,Electronics,461.36,1.0
131,Product_131,Books,289.28,1.9
132,Product_132,Electronics,85.52,4.3
133,Product_133,Electronics,194.24,4.0
134,Product_134,Toys,124.48,3.6
135,Product_135,Books,335.53,1.1
136,Product_136,Clothing,429.72,2.8
137,Product_137,Books,331.13,2.8
138,Product_138,Books,140.5,4.8
139,Product_139,Toys,412.56,3.1
140,Product_140,Home,248.65,1.3
141,Product_141,Toys,280.0,4.7
142,Product_142,Electronics,56.25,2.3
143,Product_143,Books,487.67,3.8
144,Product_144,Books,87.22,4.2
145,Product_145,Clothing,184.22,3.8
146,Product_146,Clothing,474.06,1.4
147,Product_147,Books,404.65,3.4
148,Product_148,Toys,8.81,4.9
149,Product_149,Toys,118.02,1.5
150,Product_150,Home,15.67,3.8
